@RELATION TWEET 

@ATTRIBUTE fp_pronoun		NUMERIC
@ATTRIBUTE sp_pronoun		NUMERIC
@ATTRIBUTE tp_pronoun		NUMERIC
@ATTRIBUTE coordinat_conj		NUMERIC
@ATTRIBUTE past_tense_verbs		NUMERIC
@ATTRIBUTE future_tense_verbs		NUMERIC
@ATTRIBUTE commas		NUMERIC
@ATTRIBUTE colons		NUMERIC
@ATTRIBUTE dash		NUMERIC
@ATTRIBUTE parentheses		NUMERIC
@ATTRIBUTE ellipses		NUMERIC
@ATTRIBUTE common_nouns		NUMERIC
@ATTRIBUTE proper_nouns		NUMERIC
@ATTRIBUTE adverbs		NUMERIC
@ATTRIBUTE wh-words		NUMERIC
@ATTRIBUTE modern_slang		NUMERIC
@ATTRIBUTE upper_case		NUMERIC
@ATTRIBUTE avg_len_token		NUMERIC
@ATTRIBUTE avg_len_sentence		NUMERIC
@ATTRIBUTE num_sentence		NUMERIC
@ATTRIBUTE class		{cnn, CBCNews}

@DATA
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 515, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 1, 1, 523, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 531, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 541, 1, cnn
0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 4, 1, 0, 0, 0, 1, 1, 551, 1, cnn
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 10, 2, 0, 1, 0, 2, 1, 574, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 582, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 591, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 3, 1, 300, 2, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 611, 1, cnn
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 1, 312, 2, cnn
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 633, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 1, 643, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 656, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 1, 664, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 1, 672, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 680, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 690, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 350, 2, cnn
0, 0, 1, 1, 1, 0, 0, 2, 2, 0, 0, 6, 1, 1, 0, 0, 1, 1, 722, 1, cnn
0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 5, 1, 0, 0, 0, 0, 1, 736, 1, cnn
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 744, 1, cnn
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 755, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 3, 4, 2, 0, 0, 0, 1, 385, 2, cnn
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 783, 1, cnn
0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 0, 6, 3, 0, 0, 0, 0, 1, 802, 1, cnn
1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 1, 0, 0, 0, 1, 1, 815, 1, cnn
0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 6, 0, 0, 0, 0, 0, 1, 828, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 2, 0, 0, 0, 1, 1, 841, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 1, 848, 1, cnn
0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 0, 4, 1, 0, 1, 0, 0, 1, 863, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 1, 1, 877, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 886, 1, cnn
0, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 5, 3, 1, 0, 0, 1, 1, 451, 2, cnn
0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 4, 2, 0, 0, 0, 1, 1, 915, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 923, 1, cnn
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 3, 0, 0, 0, 1, 1, 472, 2, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 955, 1, cnn
1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 488, 2, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 0, 0, 0, 0, 1, 995, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 1, 506, 2, cnn
1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0, 1, 1032, 1, cnn
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 1046, 1, cnn
0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 1, 1056, 1, cnn
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 1, 1, 1066, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 1, 0, 0, 0, 0, 1, 1077, 1, cnn
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 1, 1087, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1094, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1100, 1, cnn
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 555, 2, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1118, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 6, 0, 0, 0, 0, 0, 1, 1129, 1, cnn
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 1, 1, 1146, 1, cnn
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1, 1155, 1, cnn
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 1161, 1, cnn
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 1, 1178, 1, cnn
0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 5, 2, 0, 0, 0, 0, 1, 1194, 1, cnn
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 1, 1, 1204, 1, cnn
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 3, 4, 0, 0, 0, 0, 1, 10, 1, CBCNews
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 15, 1, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 1, 24, 1, CBCNews
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 6, 0, 0, 0, 0, 1, 15, 3, CBCNews
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 1, 53, 1, CBCNews
